model,method,dataset,task,augmentation_rate,eval_score
deepseek,cut,newleetcode.json,Q00009,0.0,0
deepseek,cut,newleetcode.json,Q00009,0.1,0
deepseek,cut,newleetcode.json,Q00009,0.2,1
deepseek,cut,newleetcode.json,Q00009,0.3,1
deepseek,cut,newleetcode.json,Q00009,0.4,0
deepseek,cut,newleetcode.json,Q00009,0.5,0
deepseek,cut,newleetcode.json,Q00009,0.6,0
deepseek,cut,newleetcode.json,Q00009,0.7,0
deepseek,cut,newleetcode.json,Q00009,0.8,0
deepseek,cut,newleetcode.json,Q00009,0.9,0
deepseek,cut,newleetcode.json,Q00009,1.0,0
