model,method,dataset,task,augmentation_rate,eval_score
openai,random,oldleetcode.json,Q00004,0.0,1
openai,random,oldleetcode.json,Q00004,0.1,1
openai,random,oldleetcode.json,Q00004,0.2,0
openai,random,oldleetcode.json,Q00004,0.3,1
openai,random,oldleetcode.json,Q00004,0.4,1
openai,random,oldleetcode.json,Q00004,0.5,0
openai,random,oldleetcode.json,Q00004,0.6,0
openai,random,oldleetcode.json,Q00004,0.7,0
openai,random,oldleetcode.json,Q00004,0.8,0
openai,random,oldleetcode.json,Q00004,0.9,0
openai,random,oldleetcode.json,Q00004,1.0,0
