Augmentation Rate,Claude 3.5,DeepSeek V3,Gemini 2.0,Llama 3.3,GPT-4o-mini
0.0,1.0,1.0,1.0,1.0,1.0
0.1,0.75,0.888888888888889,0.6666666666666666,0.9444444444444445,0.6296296296296297
0.2,0.9166666666666666,0.7222222222222223,0.5833333333333333,0.888888888888889,0.6296296296296297
0.3,0.8333333333333334,0.6111111111111112,0.25,0.4444444444444445,0.4074074074074074
0.4,0.75,0.3888888888888889,0.25,0.22222222222222224,0.29629629629629634
0.5,0.25,0.22222222222222224,0.25,0.22222222222222224,0.14814814814814817
0.6,0.3333333333333333,0.11111111111111112,0.08333333333333333,0.11111111111111112,0.07407407407407408
0.7,0.08333333333333333,0.05555555555555556,0.0,0.0,0.03703703703703704
0.8,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
