Augmentation Rate,Claude 3.5,DeepSeek V3,Gemini 2.0,Llama 3.3,GPT-4o-mini
0.0,1.0,1.0,1.0,1.0,1.0
0.1,0.6666666666666666,0.5555555555555556,0.7222222222222222,0.6923076923076923,0.8333333333333334
0.2,0.3333333333333333,0.4444444444444445,0.5,0.6153846153846154,0.5
0.3,0.22222222222222224,0.22222222222222224,0.38888888888888884,0.23076923076923075,0.4166666666666667
0.4,0.4444444444444445,0.11111111111111112,0.38888888888888884,0.3076923076923077,0.25
0.5,0.22222222222222224,0.3333333333333333,0.22222222222222224,0.07692307692307693,0.08333333333333334
0.6,0.0,0.11111111111111112,0.05555555555555556,0.0,0.08333333333333334
0.7,0.0,0.0,0.11111111111111112,0.07692307692307693,0.08333333333333334
0.8,0.0,0.0,0.11111111111111112,0.0,0.08333333333333334
0.9,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
