Augmentation Rate,Claude 3.5,DeepSeek V3,Gemini 2.0,Llama 3.3,GPT-4o-mini
0.0,1.0,1.0,1.0,1.0,1.0
0.1,1.0,0.9487179487179486,0.9743589743589743,1.0,0.923076923076923
0.2,1.0,0.9487179487179486,0.9743589743589743,0.9722222222222223,0.923076923076923
0.3,1.0,1.0,0.9743589743589743,0.9722222222222223,0.7948717948717947
0.4,1.0,0.8205128205128206,0.923076923076923,0.7777777777777778,0.7435897435897436
0.5,0.9666666666666667,0.7435897435897436,0.8205128205128206,0.6666666666666666,0.6923076923076922
0.6,0.8000000000000002,0.5897435897435898,0.48717948717948717,0.5555555555555556,0.4358974358974359
0.7,0.7000000000000001,0.564102564102564,0.3846153846153846,0.5,0.4358974358974359
0.8,0.4666666666666666,0.3333333333333333,0.282051282051282,0.3611111111111111,0.2564102564102564
0.9,0.26666666666666666,0.282051282051282,0.2051282051282051,0.16666666666666666,0.1794871794871795
1.0,0.19999999999999998,0.15384615384615383,0.07692307692307691,0.08333333333333333,0.07692307692307691
