model,method,dataset,task,augmentation_rate,eval_score
deepseek,keyboard,math.json,Q00001,0.0,
deepseek,keyboard,math.json,Q00001,0.1,1.0
deepseek,keyboard,math.json,Q00001,0.2,
deepseek,keyboard,math.json,Q00001,0.3,1.0
deepseek,keyboard,math.json,Q00001,0.4,1.0
deepseek,keyboard,math.json,Q00001,0.5,1.0
deepseek,keyboard,math.json,Q00001,0.6,0.0
deepseek,keyboard,math.json,Q00001,0.7,0.0
deepseek,keyboard,math.json,Q00001,0.8,0.0
deepseek,keyboard,math.json,Q00001,0.9,0.0
deepseek,keyboard,math.json,Q00001,1.0,1.0
