model,method,dataset,task,augmentation_rate,eval_score
deepseek,keyboard,math.json,Q00003,0.0,1.0
deepseek,keyboard,math.json,Q00003,0.1,1.0
deepseek,keyboard,math.json,Q00003,0.2,1.0
deepseek,keyboard,math.json,Q00003,0.3,1.0
deepseek,keyboard,math.json,Q00003,0.4,0.0
deepseek,keyboard,math.json,Q00003,0.5,
deepseek,keyboard,math.json,Q00003,0.6,0.0
deepseek,keyboard,math.json,Q00003,0.7,0.0
deepseek,keyboard,math.json,Q00003,0.8,
deepseek,keyboard,math.json,Q00003,0.9,0.0
deepseek,keyboard,math.json,Q00003,1.0,0.0
