model,method,dataset,task,augmentation_rate,eval_score
deepseek,keyboard,math.json,Q00015,0.0,
deepseek,keyboard,math.json,Q00015,0.1,
deepseek,keyboard,math.json,Q00015,0.2,
deepseek,keyboard,math.json,Q00015,0.3,1.0
deepseek,keyboard,math.json,Q00015,0.4,
deepseek,keyboard,math.json,Q00015,0.5,
deepseek,keyboard,math.json,Q00015,0.6,0.0
deepseek,keyboard,math.json,Q00015,0.7,
deepseek,keyboard,math.json,Q00015,0.8,
deepseek,keyboard,math.json,Q00015,0.9,0.0
deepseek,keyboard,math.json,Q00015,1.0,0.0
