model,method,dataset,task,augmentation_rate,eval_score
openai,keyboard,newleetcode.json,Q00017,0.0,1
openai,keyboard,newleetcode.json,Q00017,0.1,1
openai,keyboard,newleetcode.json,Q00017,0.2,1
openai,keyboard,newleetcode.json,Q00017,0.3,1
openai,keyboard,newleetcode.json,Q00017,0.4,0
openai,keyboard,newleetcode.json,Q00017,0.5,0
openai,keyboard,newleetcode.json,Q00017,0.6,0
openai,keyboard,newleetcode.json,Q00017,0.7,0
openai,keyboard,newleetcode.json,Q00017,0.8,0
openai,keyboard,newleetcode.json,Q00017,0.9,0
openai,keyboard,newleetcode.json,Q00017,1.0,0
