model,method,dataset,task,augmentation_rate,eval_score
deepseek,synonym,oldleetcode.json,Q00004,0.0,1
deepseek,synonym,oldleetcode.json,Q00004,0.1,1
deepseek,synonym,oldleetcode.json,Q00004,0.2,1
deepseek,synonym,oldleetcode.json,Q00004,0.3,1
deepseek,synonym,oldleetcode.json,Q00004,0.4,1
deepseek,synonym,oldleetcode.json,Q00004,0.5,0
deepseek,synonym,oldleetcode.json,Q00004,0.6,1
deepseek,synonym,oldleetcode.json,Q00004,0.7,1
deepseek,synonym,oldleetcode.json,Q00004,0.8,1
deepseek,synonym,oldleetcode.json,Q00004,0.9,1
deepseek,synonym,oldleetcode.json,Q00004,1.0,1
