model,method,dataset,task,augmentation_rate,eval_score
google,cut,newleetcode.json,Q00018,0.0,0
google,cut,newleetcode.json,Q00018,0.1,1
google,cut,newleetcode.json,Q00018,0.2,1
google,cut,newleetcode.json,Q00018,0.3,1
google,cut,newleetcode.json,Q00018,0.4,0
google,cut,newleetcode.json,Q00018,0.5,1
google,cut,newleetcode.json,Q00018,0.6,1
google,cut,newleetcode.json,Q00018,0.7,0
google,cut,newleetcode.json,Q00018,0.8,0
google,cut,newleetcode.json,Q00018,0.9,0
google,cut,newleetcode.json,Q00018,1.0,0
