model,method,dataset,task,augmentation_rate,eval_score
deepseek,keyboard,newleetcode.json,Q00010,0.0,1
deepseek,keyboard,newleetcode.json,Q00010,0.1,1
deepseek,keyboard,newleetcode.json,Q00010,0.2,1
deepseek,keyboard,newleetcode.json,Q00010,0.3,0
deepseek,keyboard,newleetcode.json,Q00010,0.4,0
deepseek,keyboard,newleetcode.json,Q00010,0.5,0
deepseek,keyboard,newleetcode.json,Q00010,0.6,0
deepseek,keyboard,newleetcode.json,Q00010,0.7,0
deepseek,keyboard,newleetcode.json,Q00010,0.8,
deepseek,keyboard,newleetcode.json,Q00010,0.9,
deepseek,keyboard,newleetcode.json,Q00010,1.0,
