model,method,dataset,task,augmentation_rate,eval_score
google,keyboard,math.json,Q00002,0.0,1.0
google,keyboard,math.json,Q00002,0.1,1.0
google,keyboard,math.json,Q00002,0.2,1.0
google,keyboard,math.json,Q00002,0.3,1.0
google,keyboard,math.json,Q00002,0.4,1.0
google,keyboard,math.json,Q00002,0.5,1.0
google,keyboard,math.json,Q00002,0.6,1.0
google,keyboard,math.json,Q00002,0.7,1.0
google,keyboard,math.json,Q00002,0.8,1.0
google,keyboard,math.json,Q00002,0.9,1.0
google,keyboard,math.json,Q00002,1.0,1.0
