model,method,dataset,task,augmentation_rate,eval_score
google,keyboard,math.json,Q00001,0.0,1.0
google,keyboard,math.json,Q00001,0.1,1.0
google,keyboard,math.json,Q00001,0.2,1.0
google,keyboard,math.json,Q00001,0.3,1.0
google,keyboard,math.json,Q00001,0.4,1.0
google,keyboard,math.json,Q00001,0.5,1.0
google,keyboard,math.json,Q00001,0.6,0.0
google,keyboard,math.json,Q00001,0.7,0.0
google,keyboard,math.json,Q00001,0.8,1.0
google,keyboard,math.json,Q00001,0.9,0.0
google,keyboard,math.json,Q00001,1.0,0.0
