model,method,dataset,task,augmentation_rate,eval_score
openai,keyboard,oldleetcode.json,Q00006,0.0,1
openai,keyboard,oldleetcode.json,Q00006,0.1,1
openai,keyboard,oldleetcode.json,Q00006,0.2,1
openai,keyboard,oldleetcode.json,Q00006,0.3,1
openai,keyboard,oldleetcode.json,Q00006,0.4,1
openai,keyboard,oldleetcode.json,Q00006,0.5,0
openai,keyboard,oldleetcode.json,Q00006,0.6,0
openai,keyboard,oldleetcode.json,Q00006,0.7,0
openai,keyboard,oldleetcode.json,Q00006,0.8,0
openai,keyboard,oldleetcode.json,Q00006,0.9,0
openai,keyboard,oldleetcode.json,Q00006,1.0,0
