model,method,dataset,task,augmentation_rate,eval_score
deepseek,random,newleetcode.json,Q00014,0.0,0
deepseek,random,newleetcode.json,Q00014,0.1,1
deepseek,random,newleetcode.json,Q00014,0.2,0
deepseek,random,newleetcode.json,Q00014,0.3,1
deepseek,random,newleetcode.json,Q00014,0.4,1
deepseek,random,newleetcode.json,Q00014,0.5,0
deepseek,random,newleetcode.json,Q00014,0.6,0
deepseek,random,newleetcode.json,Q00014,0.7,0
deepseek,random,newleetcode.json,Q00014,0.8,0
deepseek,random,newleetcode.json,Q00014,0.9,0
deepseek,random,newleetcode.json,Q00014,1.0,0
