model,method,dataset,task,augmentation_rate,eval_score
deepseek,random,newleetcode.json,Q00010,0.0,0
deepseek,random,newleetcode.json,Q00010,0.1,
deepseek,random,newleetcode.json,Q00010,0.2,0
deepseek,random,newleetcode.json,Q00010,0.3,0
deepseek,random,newleetcode.json,Q00010,0.4,0
deepseek,random,newleetcode.json,Q00010,0.5,0
deepseek,random,newleetcode.json,Q00010,0.6,0
deepseek,random,newleetcode.json,Q00010,0.7,
deepseek,random,newleetcode.json,Q00010,0.8,0
deepseek,random,newleetcode.json,Q00010,0.9,0
deepseek,random,newleetcode.json,Q00010,1.0,0
