Augmentation Rate,Claude 3.5,DeepSeek V3,Gemini 2.0,Llama 3.3,GPT-4o-mini
0.0,0.45,0.45,0.9,0.65,0.6
0.1,0.25,0.21666666666666667,0.6166666666666667,0.4,0.35
0.2,0.18333333333333332,0.15,0.45,0.3333333333333333,0.36666666666666664
0.3,0.15,0.18333333333333332,0.35,0.23333333333333334,0.18333333333333332
0.4,0.15,0.11666666666666667,0.38333333333333336,0.18333333333333332,0.11666666666666667
0.5,0.1,0.16666666666666666,0.2833333333333333,0.16666666666666666,0.1
0.6,0.016666666666666666,0.08333333333333333,0.18333333333333332,0.11666666666666667,0.06666666666666667
0.7,0.03333333333333333,0.06666666666666667,0.15,0.15,0.06666666666666667
0.8,0.016666666666666666,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
0.9,0.05,0.03333333333333333,0.13333333333333333,0.1,0.03333333333333333
1.0,0.0,0.05,0.1,0.11666666666666667,0.05
