Augmentation Rate,Claude 3.5,DeepSeek V3,Gemini 2.0,Llama 3.3,GPT-4o-mini
0.0,0.5,0.65,0.65,0.6,0.65
0.1,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.6333333333333333,0.6
0.2,0.5833333333333334,0.6166666666666667,0.6333333333333333,0.6,0.6
0.3,0.65,0.65,0.6333333333333333,0.6,0.5166666666666667
0.4,0.55,0.5333333333333333,0.6,0.48333333333333334,0.48333333333333334
0.5,0.5166666666666667,0.48333333333333334,0.5333333333333333,0.4,0.45
0.6,0.4166666666666667,0.38333333333333336,0.31666666666666665,0.3333333333333333,0.2833333333333333
0.7,0.35,0.36666666666666664,0.25,0.3,0.2833333333333333
0.8,0.23333333333333334,0.21666666666666667,0.18333333333333332,0.21666666666666667,0.16666666666666666
0.9,0.13333333333333333,0.18333333333333332,0.13333333333333333,0.1,0.11666666666666667
1.0,0.1,0.1,0.05,0.05,0.05
