Augmentation Rate,Claude 3.5,DeepSeek V3,Gemini 2.0,Llama 3.3,GPT-4o-mini
0.0,0.2,0.3,0.4,0.3,0.45
0.1,0.18333333333333332,0.2833333333333333,0.26666666666666666,0.3,0.2833333333333333
0.2,0.21666666666666667,0.25,0.23333333333333334,0.26666666666666666,0.2833333333333333
0.3,0.18333333333333332,0.18333333333333332,0.1,0.13333333333333333,0.18333333333333332
0.4,0.16666666666666666,0.11666666666666667,0.1,0.06666666666666667,0.13333333333333333
0.5,0.05,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667
0.6,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
0.7,0.016666666666666666,0.016666666666666666,0.0,0.0,0.016666666666666666
0.8,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
