model,method,dataset,task,augmentation_rate,eval_score
openai,cut,newleetcode.json,Q00018,0.0,1
openai,cut,newleetcode.json,Q00018,0.1,0
openai,cut,newleetcode.json,Q00018,0.2,0
openai,cut,newleetcode.json,Q00018,0.3,1
openai,cut,newleetcode.json,Q00018,0.4,0
openai,cut,newleetcode.json,Q00018,0.5,1
openai,cut,newleetcode.json,Q00018,0.6,0
openai,cut,newleetcode.json,Q00018,0.7,0
openai,cut,newleetcode.json,Q00018,0.8,0
openai,cut,newleetcode.json,Q00018,0.9,0
openai,cut,newleetcode.json,Q00018,1.0,0
