model,method,dataset,task,augmentation_rate,eval_score
meta,keyboard,newleetcode.json,Q00012,0.0,0
meta,keyboard,newleetcode.json,Q00012,0.1,0
meta,keyboard,newleetcode.json,Q00012,0.2,1
meta,keyboard,newleetcode.json,Q00012,0.3,0
meta,keyboard,newleetcode.json,Q00012,0.4,0
meta,keyboard,newleetcode.json,Q00012,0.5,0
meta,keyboard,newleetcode.json,Q00012,0.6,0
meta,keyboard,newleetcode.json,Q00012,0.7,0
meta,keyboard,newleetcode.json,Q00012,0.8,0
meta,keyboard,newleetcode.json,Q00012,0.9,0
meta,keyboard,newleetcode.json,Q00012,1.0,0
