model,method,dataset,task,augmentation_rate,eval_score
deepseek,random,math.json,Q00015,0.0,0.0
deepseek,random,math.json,Q00015,0.1,1.0
deepseek,random,math.json,Q00015,0.2,
deepseek,random,math.json,Q00015,0.3,0.0
deepseek,random,math.json,Q00015,0.4,0.0
deepseek,random,math.json,Q00015,0.5,0.0
deepseek,random,math.json,Q00015,0.6,0.0
deepseek,random,math.json,Q00015,0.7,0.0
deepseek,random,math.json,Q00015,0.8,0.0
deepseek,random,math.json,Q00015,0.9,0.0
deepseek,random,math.json,Q00015,1.0,0.0
