model,method,dataset,task,augmentation_rate,eval_score
google,random,oldleetcode.json,Q00007,0.0,1
google,random,oldleetcode.json,Q00007,0.1,1
google,random,oldleetcode.json,Q00007,0.2,1
google,random,oldleetcode.json,Q00007,0.3,1
google,random,oldleetcode.json,Q00007,0.4,1
google,random,oldleetcode.json,Q00007,0.5,1
google,random,oldleetcode.json,Q00007,0.6,1
google,random,oldleetcode.json,Q00007,0.7,0
google,random,oldleetcode.json,Q00007,0.8,0
google,random,oldleetcode.json,Q00007,0.9,0
google,random,oldleetcode.json,Q00007,1.0,0
