model,method,dataset,task,augmentation_rate,eval_score
google,keyboard,newleetcode.json,Q00006,0.0,0
google,keyboard,newleetcode.json,Q00006,0.1,0.0
google,keyboard,newleetcode.json,Q00006,0.2,0.0
google,keyboard,newleetcode.json,Q00006,0.3,0.0
google,keyboard,newleetcode.json,Q00006,0.4,0.0
google,keyboard,newleetcode.json,Q00006,0.5,0.0
google,keyboard,newleetcode.json,Q00006,0.6,0.0
google,keyboard,newleetcode.json,Q00006,0.7,0.0
google,keyboard,newleetcode.json,Q00006,0.8,0.0
google,keyboard,newleetcode.json,Q00006,0.9,0
google,keyboard,newleetcode.json,Q00006,1.0,0.0
