model,method,dataset,task,augmentation_rate,eval_score
anthropic,random,newleetcode.json,Q00003,0.0,0
anthropic,random,newleetcode.json,Q00003,0.1,0
anthropic,random,newleetcode.json,Q00003,0.2,0
anthropic,random,newleetcode.json,Q00003,0.3,0
anthropic,random,newleetcode.json,Q00003,0.4,0
anthropic,random,newleetcode.json,Q00003,0.5,0
anthropic,random,newleetcode.json,Q00003,0.6,0
anthropic,random,newleetcode.json,Q00003,0.7,0
anthropic,random,newleetcode.json,Q00003,0.8,0
anthropic,random,newleetcode.json,Q00003,0.9,0.0
anthropic,random,newleetcode.json,Q00003,1.0,0.0
