model,method,dataset,task,augmentation_rate,eval_score
deepseek,cut,oldleetcode.json,Q00007,0.0,1
deepseek,cut,oldleetcode.json,Q00007,0.1,1
deepseek,cut,oldleetcode.json,Q00007,0.2,1
deepseek,cut,oldleetcode.json,Q00007,0.3,1
deepseek,cut,oldleetcode.json,Q00007,0.4,1
deepseek,cut,oldleetcode.json,Q00007,0.5,1
deepseek,cut,oldleetcode.json,Q00007,0.6,1
deepseek,cut,oldleetcode.json,Q00007,0.7,1
deepseek,cut,oldleetcode.json,Q00007,0.8,1
deepseek,cut,oldleetcode.json,Q00007,0.9,1
deepseek,cut,oldleetcode.json,Q00007,1.0,0
