model,method,dataset,task,augmentation_rate,eval_score
anthropic,random,math.json,Q00006,0.0,0.0
anthropic,random,math.json,Q00006,0.1,0.0
anthropic,random,math.json,Q00006,0.2,
anthropic,random,math.json,Q00006,0.3,
anthropic,random,math.json,Q00006,0.4,0.0
anthropic,random,math.json,Q00006,0.5,0.0
anthropic,random,math.json,Q00006,0.6,0.0
anthropic,random,math.json,Q00006,0.7,0.0
anthropic,random,math.json,Q00006,0.8,0.0
anthropic,random,math.json,Q00006,0.9,0.0
anthropic,random,math.json,Q00006,1.0,0.0
