model,method,dataset,task,augmentation_rate,eval_score
meta,random,newleetcode.json,Q00014,0.0,0
meta,random,newleetcode.json,Q00014,0.1,1
meta,random,newleetcode.json,Q00014,0.2,1
meta,random,newleetcode.json,Q00014,0.3,1
meta,random,newleetcode.json,Q00014,0.4,0
meta,random,newleetcode.json,Q00014,0.5,0
meta,random,newleetcode.json,Q00014,0.6,0
meta,random,newleetcode.json,Q00014,0.7,0
meta,random,newleetcode.json,Q00014,0.8,0
meta,random,newleetcode.json,Q00014,0.9,0
meta,random,newleetcode.json,Q00014,1.0,0
